date,open,high,low,close,volume
2015-01-02,20.039,20.2494,19.9998,20.1271,1229939
2015-01-05,20.0194,20.0194,19.7844,19.8334,1083137
2015-01-06,20.0292,20.1467,19.7257,19.8236,2209124
2015-01-07,21.1354,21.2431,21.0179,21.0766,2486293
2015-01-08,21.0766,21.1648,21.0179,21.106,1296471
2015-01-09,21.3214,21.3312,20.8711,20.8906,3013190
2015-01-12,20.9298,20.9654,20.7879,20.9102,1995850
2015-01-13,20.9494,21.0375,20.5431,20.734,1780482
2015-01-14,20.3229,20.3522,20.0879,20.2641,2420551
2015-01-15,20.7928,20.8123,20.4599,20.4893,2457154
2015-01-16,19.9704,20.2543,19.9117,20.2348,2586938
2015-01-20,20.4697,20.4795,20.2201,20.3816,1063704
2015-01-21,21.3997,21.6444,21.3214,21.4486,4272831
2015-01-22,21.527,21.7619,21.5074,21.7032,1923695
2015-01-23,22.036,22.3982,21.9479,22.1241,2962766
2015-01-26,22.8094,22.9758,22.7898,22.8779,3593357
2015-01-27,22.5157,22.6723,22.457,22.5744,1649819
2015-01-28,23.387,23.4065,22.9464,22.966,3503890
2015-01-29,23.0639,23.1031,22.8975,23.0737,2570755
2015-01-30,22.9269,23.1031,22.78,22.7996,2266298
2015-02-02,22.4765,22.8779,22.4276,22.8387,1627115
2015-02-03,22.6625,22.9074,22.6527,22.8975,2044169
2015-02-04,24.3561,25.9909,24.0624,25.3938,9220201
2015-02-05,25.9909,26.4119,25.942,26.2553,3567558
2015-02-06,26.0497,26.2347,25.9616,26.0105,1929544
2015-02-09,25.1491,25.3057,25.1001,25.1491,2391850
2015-02-10,25.3546,25.5798,25.2274,25.5113,2161781
2015-02-11,25.3448,25.6043,25.3448,25.5504,1556918
2015-02-12,26.1182,26.5685,26.1084,26.5392,2915667
2015-02-13,26.637,26.8818,26.6273,26.7251,1552203
2015-02-17,25.8245,26.0986,25.7462,26.0399,2228916
2015-02-18,26.4413,27.5279,26.3238,27.43,5021631
2015-02-19,26.686,26.9111,26.5783,26.7937,2576189
2015-02-20,26.4413,26.7349,26.3238,26.686,2266238
2015-02-23,26.4804,26.5196,26.3727,26.4608,1468356
2015-02-24,26.8818,27.2244,26.8524,27.1559,1686874
2015-02-25,27.0188,27.244,26.9895,27.1069,983130
2015-02-26,27.4398,27.6747,27.4104,27.5377,1229364
2015-02-27,27.8999,28.0467,27.7149,27.7237,1668415
2015-03-02,27.3615,27.5377,27.3057,27.5181,1210216
2015-03-03,27.3713,27.4006,27.1461,27.244,1238601
2015-03-04,27.2244,27.3295,27.0384,27.3027,1003967
2015-03-05,27.3908,27.5475,27.3419,27.4691,1217082
2015-03-06,27.1559,27.2048,26.9111,26.9307,1421788
2015-03-09,26.5783,26.7349,26.5196,26.6958,1011188
2015-03-10,26.079,26.1476,25.9714,26.0105,1539966
2015-03-11,26.2357,26.3238,26.1769,26.2748,1519142
2015-03-12,26.451,26.5734,26.451,26.5587,1190113
2015-03-13,26.0693,26.0693,25.8539,26.0007,1511045
2015-03-16,25.1882,25.3351,25.1393,25.2763,2378753
2015-03-17,26.5783,26.5979,25.9846,26.1867,1860079
2015-03-18,27.3615,27.7041,27.1461,27.5181,2444391
2015-03-19,27.4104,27.4496,27.1265,27.2636,1054627
2015-03-20,27.3615,27.5083,27.1559,27.3223,1455246
2015-03-23,27.2929,27.381,27.1804,27.195,1253410
2015-03-24,27.0971,27.1559,26.9405,26.9895,943829
2015-03-25,26.8426,26.8818,26.079,26.128,2656863
2015-03-26,25.8147,26.0693,25.784,25.9812,1129892
2015-03-27,26.0986,26.265,26.0986,26.2161,839253
2015-03-30,26.4902,26.5685,26.4479,26.5196,1368834
2015-03-31,26.1378,26.265,26.0301,26.2161,1751270
2015-04-01,26.8818,26.8916,26.4315,26.686,1919091
2015-04-02,27.3223,27.3908,27.1755,27.2636,1661350
2015-04-06,28.6145,28.9571,28.497,28.732,2452754
2015-04-07,28.6732,28.6732,28.311,28.36,1581742
2015-04-08,28.7711,28.9669,28.7124,28.8984,1370255
2015-04-09,29.1138,29.3781,28.8984,29.2704,1658142
2015-04-10,29.9067,30.0438,29.7892,29.9165,2192863
2015-04-13,29.8186,30.0046,29.6754,29.7305,1395193
2015-04-14,30.6213,30.6899,30.2004,30.4745,2717313
2015-04-15,30.964,31.101,30.729,31.0814,4385740
2015-04-16,30.2493,30.5235,30.1808,30.4256,2524583
2015-04-17,29.1431,29.5347,29.0746,29.3781,3535438
2015-04-20,29.8186,29.8636,29.613,29.7207,1042709
2015-04-21,30.2689,30.2983,30.0679,30.2298,1867588
2015-04-22,31.4241,31.9126,31.3066,31.6688,3774929
2015-04-23,29.5935,30.3375,29.5347,30.0731,4146599
2015-04-24,30.7878,30.8661,30.5235,30.6801,3291552
2015-04-27,30.6703,30.728,30.4745,30.5332,1472613
2015-04-28,30.2298,30.4353,30.1515,30.357,957361
2015-04-29,30.0927,30.2689,29.7941,30.0536,1089308
2015-04-30,29.662,29.7305,29.1529,29.5935,1271094
2015-05-01,29.6718,30.4451,29.662,30.2591,1366449
2015-05-04,30.2591,30.5626,30.2493,30.4941,1222952
2015-05-05,30.2591,30.406,29.6816,29.6913,1653578
2015-05-06,29.6326,29.706,29.1431,29.3291,1977549
2015-05-07,29.476,29.7011,29.427,29.662,998598
2015-05-08,29.8676,30.0878,29.8284,29.9948,958483
2015-05-11,30.4745,30.5381,30.171,30.1906,890375
2015-05-12,31.0521,31.0912,30.8073,30.8465,2997396
2015-05-13,31.7471,31.7667,31.1803,31.3262,3731128
2015-05-14,31.3458,31.5269,31.2479,31.5122,2220968
2015-05-15,31.894,32.08,31.7569,32.0506,1598819
2015-05-18,31.894,31.9625,31.7178,31.7667,647177
2015-05-19,32.2562,32.2562,31.8842,31.9233,1594283
2015-05-20,31.708,31.7373,31.4388,31.4926,940483
2015-05-21,31.1696,31.1891,30.9982,31.1402,982036
2015-05-22,31.0227,31.1989,30.9933,31.0521,1055436
2015-05-26,31.1989,31.2087,30.7878,30.964,1240889
2015-05-27,30.6409,30.6899,30.3717,30.5822,1011325
2015-05-28,30.3668,30.6116,30.2983,30.5235,1727477
2015-05-29,30.2493,30.4451,30.127,30.2689,734938
2015-06-01,30.2102,30.3668,29.9703,30.1515,1367108
2015-06-02,29.8578,30.034,29.7795,29.8969,1712266
2015-06-03,29.6424,29.9165,29.6326,29.7892,1321698
